Item #,Product Name,Additional Description,Thickness,SheetCount,Features,Product Color,Additional Product Color,Additional Product Color2,Imprint options,Imprint_Options_2,Location1,Location2  ,Location3,Location4,Point Style_1,Ink_Color_1,Point Style_2,Ink_Color_2,Ink_Options,Pricing Info,Production time,Imprint Info,Product Dimensions,US  Patent,Recycle  Info,Shipping  Info,Pack Qty,Pack Weight,Icons,Page Number
BLGP3,BIC? Brite Liner? Grip,,,,Bright barrel and ink colors |Includes gray textured rubber grip |Multiple imprint options,"Blue, Green, Orange, Pink, Yellow",Choose 1 highlighter color.  All include gray textured rubber grip and matching clip.  Ink color matches highlighter color. Please specify your assortment for the 3 or 5 pack.,,"Screen Printing (SP): Price includes a 1-color barrel or cap imprint. 4 colors available in any barrel/cap combination.  Add $.12(C) per highlighter for each additional imprint color.  Add $.12(C)  per highligher for each color in second location.  Imprint is put  on cap unless otherwise specified.   See diagram for imprint areas, location and number of colors.",,"SP: 1 1/2""W x 5/8""H 
(max. 4 colors)
(Default) ",(max. 4 colors),,,Highlighter,"Blue, Green, Orange, Pink, Yelow",,,Ink matches highlighter color,,5 working days.,,"5/8""W x 5 1/2""H",,,,200,19 lbs  (approx.),24,72
BLGP5,BIC? Brite Liner? Grip,,,,Bright barrel and ink colors |Includes gray textured rubber grip |Multiple imprint options,"Blue, Green, Orange, Pink, Yellow",Choose 1 highlighter color.  All include gray textured rubber grip and matching clip.  Ink color matches highlighter color. Please specify your assortment for the 3 or 5 pack.,,"Screen Printing (SP): Price includes a 1-color barrel or cap imprint. 4 colors available in any barrel/cap combination.  Add $.12(C) per highlighter for each additional imprint color.  Add $.12(C)  per highligher for each color in second location.  Imprint is put  on cap unless otherwise specified.   See diagram for imprint areas, location and number of colors.",,"SP: 1 1/2""W x 5/8""H 
(max. 4 colors)
(Default) ",(max. 4 colors),,,Highlighter,"Blue, Green, Orange, Pink, Yelow",,,Ink matches highlighter color,,5 working days.,,"5/8""W x 5 1/2""H",,,,130,20 lbs  (approx.),24,72
BLGXL,BIC? Brite Liner? Grip XL,,,,Brighter barrel and ink colors! |Chisel tip for broad highlighting and fine underlining |New extra-large contoured barrel |Textured rubber grip for comfort and control ,"Blue, Green, Orange, Yellow",Choose 1 highlighter color.  All include gray textured rubber grip.   Ink color matches highlighter color.,,"Screen Printing (SP): Price includes a 1-color barrel imprint.  See diagrams for i mprint areas, location and number of colors.",,"SP: 1""W x 1""H
(max. 1 color)",,,,,"Blue, Green, Orange, Yellow",,,Ink matches barrel color.,,5 working days.,,"7/8""W x 5 1/2""H",,,,300,17 lbs (approx.),24,73
BLR,BIC? Brite Liner? Retractable  Highlighter,,,,"Convenient, one-step retraction with molded grip area |Chisel tip for broad highlighting and fine underlining","Blue, Green, Yellow",Choose from selection shown.  Ink matches barrel color,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 1-color clip imprint available.  Add $.12(C) per highlighter for clip imprint.  See diagrams for imprint areas, location and number of colors.",,"SP: 1 1/8""W x 1/4""H (max. 1 color)","SP: 1 9/16""W x 5/16""H 
(max. 1 color)",,,,"Blue, Green, Yellow",,,Ink matches barrel color,,5 working days.,,"11/16""W x 5 21/32""H",,,,300,10 lbs (approx.),24,74
BPCC,BIC? Pencil Color Connection,,,,Wood barrels with #2 graphite lead |Large imprint area,"Black, Navy, Neon Green, Neon Orange, Neon Purple, Neon Pink, Neon Yellow, Red, White, Ferrule Colors,, Black, Blue, Gold, Silver",Choose 1 ferrule color and 1 eraser color.  All include a white barrel.,,"Screen Printing (SP): Price includes a 1-color barrel imprint.  2 colors available.  Add $.12(C) per pencil for second imprint color. For longer imprint life, imprints will be placed toward eraser end of barrel.  Sharpening:  Add $.02(C) per pencil. Sharpening may result in lead dust in shipping carton. See diagram for imprint area, location and number of colors. ",,"SP: 4""W x 3/4""H (max. 2 colors)",,,,Pencil,Black,,,#2 graphite lead,,5 working days.,,"5/16""W x 7 1/2""H",,,,500,7 lbs (approx.),24,77
BPS,BIC? Pencil Solids,,,,Wood barrels with #2 graphite lead |Large imprint area ,"Black, Blue, Green, Navy, Neon Green, Orange, Pink, Purple, Red, Silver, White, Yellow",Choose 1 barrel color.  All include a gold ferrule and white eraser.,,"Screen Printing (SP): Price includes a 1-color barrel imprint.   2 colors available.  Add $.12(C) per pencil for second imprint color. For longer imprint life, imprints will be placed toward  eraser end of barrel.  Sharpening:  Add $.02(C) per pencil. Sharpening may result in lead dust in shipping carton. See diagram for imprint area, location and number of colors. ",,"SP: 4""W x 3/4""H (max. 2 colors)",,,,Pencil,Black,,,#2 graphite lead,,5 working days.,,"5/16""W x 7 1/2""H",,,,500,7 lbs (approx.),24,76
PEVECO,BIC? Ecolution? Pencil,,,,Recycled plastic barrels with #2 graphite lead |Large imprint area|Made with 46% recycled plastic ,White,All include a gold ferrule and white eraser.,,"Screen Printing (SP): Price includes a 1-color barrel imprint.   2 colors available.  Add $.12(C) per pencil for second imprint color. For longer imprint life, imprints will be placed toward  eraser end of barrel.  Sharpening:  Add $.02(C) per pencil. Sharpening may result in lead dust in shipping carton. See diagram for imprint area, location and number of colors. ",,"SP: 4""W x 3/4""H (max. 2 colors)",,,,Pencil,Black,,,#2 graphite lead,,5 working days.,,"5/16""W x 7 1/2""H",,,,500,7 lbs (approx.),24 ^ECO,76
CFT,BIC? Carbon Fiber Twist,Twist-Style Ballpoint,,,Carbon fiber with weave pattern |Chrome-plated cap and accents |Refillable |Two-piece black gift box with velvet lining included,"Black Carbon Fiber, with Weave Pattern",Includes polished chrome?plated clip and trim.,,"Laser Engraving (LE): Price includes 1 line of repeating copy or personalization on cap with gray colorfill included.  Add $.60(G) per pen for second location or personalization.  New Optional 330§ Laser Engraving: Cap-1 1/4""W x 1 3/8""H;  $50(G) set-up charge. $.60(G) running charge per pen. See diagram for imprint area, location and number of colors.",,"LE: 1 1/4""W x 1/2""H (max. 1 color)",,,,Medium Point,Black,Gel Ink,Black,Gel ink option.  Add $.55(G) per pen.  Please allow additional working days on your order.,,5 working days.,,"11/16""W x 5 11/16""H",,,,50,8 lbs (approx.),24,97
CIT,BIC? Citation?,,,,Always in stock |Polished nickel?plated trim |Refillable |Slim retractable ballpoint ,"Black, Burgundy, Forest Green, Navy, White",Choose 1 barrel color.  All include polished nickel?plated trim.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 2 colors available.  Add $.12(C) per pen for second imprint color.  See diagram for imprint area, location and number of colors.",,"SP: 1 5/8""W x 3/4""H (max. 2 colors)",,,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 1/2""H",,, Free individual cello wrap.,200,6 lbs (approx.),24,64
CITCL,BIC? Citation? Clear,,,,Always in stock |Polished?nickel plated trim |Refillable |Slim retractable ballpoint,"Black, Blue, Green, Purple, Red",Choose 1 barrel color.  All include polished nickel?plated trim.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 2 colors available.  Add $.12(C) per pen for second imprint color.  See diagram for imprint area, location and number of colors.",,"SP: 1 5/8""W x 3/4""H (max. 2 colors)",,,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 1/2""H",,, Free individual cello wrap.,200,6 lbs (approx.),24,64
CL,BIC? Clic?,,,,Always in stock|Polished nickel?plated trim|Made of 27% plastic from a renewable resource|Refillable,"Black, Blue, Burgundy, Forest Green, Metallic Dark Blue, Metallic Green, Metallic Orange, Metallic Red, Metallic Silver, Navy, Purple, Red, Royal Blue, Teal, White, Yellow, Trim Color, Nickel-Plated","Choose 1 barrel and 1 cap color.  All include polished nickel?plated trim.  Due to the metallic colorant in metallic color barrels, flow lines maybe visible.",,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available. Add $.12(C) per pen for each additional imprint color. See diagram for imprint area, location and number of colors.",,"SP: 1 1/2""W x 1""H (max. 3 colors)",,,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 9/16""H",,,,500,10 lbs (approx.),ECO ^24,43
CLCL,BIC? Clear Clics?,,,,Always in stock|Polished nickel?plated trim|Made of 27% plastic from a renewable resource|Refillable,"Black, Blue, Clear, Green, Orange, Pink, Purple, Red, Trim Colors, Nickel-Plated ",Choose 1 pen color.  All include nickel-plated trim. ,,"Screen Printing (SP): Price includes a 1-color barrel imprint. See diagram for imprint area, location and number of colors.",,"SP: 1 1/2""W x 1""H (max. 1 color)",,,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 9/16""H",,,,500,10 lbs (approx.),ECO ^24,45
CLCLG,BIC? Clear Clics? Gold,,,,Always in stock|Polished gold?plated trim|Made of 27% plastic from a renewable resource|Refillable,"Black, Blue, Clear, Green, Orange, Pink, Purple, Red, Trim Colors, Gold-Plated",Choose 1 pen color.  All include gold-plated trim.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. See diagram for imprint area, location and number of colors.",,"SP: 1 1/2""W x 1""H (max. 1 color)",,,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 9/16""H",,,,500,10 lbs (approx.),ECO ^24,45
CLG,BIC? Clic? Gold,,,,Always in stock|Polished gold?plated trim|Made of 27% plastic from a renewable resource|Refillable," Blue, Burgundy, Forest Green, Metallic Dark Blue, Metallic Green, Metallic Orange, Metallic Red, Metallic Silver, Navy, Purple, Red, Royal Blue, Teal, White, Yellow, Trim Color, Gold-Plated","Choose 1 barrel and 1 cap color.  All include polished gold?plated trim.- Due to the metallic colorant in metallic color barrels, flow lines may be visible.",,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available. Add $.12(C) per pen for each additional imprint color. See diagram for imprint area, location and number of colors.",,"SP: 1 1/2""W x 1""H (max. 3 colors)",,,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 9/16""H",,,,500,10 lbs (approx.),ECO ^24,44
CS,BIC? Clic Stic?,,,,Always in stock|Break-resistant pocket clip|Most popular retractable in promotional products!|Over 400 possible color combinations,"Black, Blue, Burgundy, Clear, Cream, Forest Green, Green, Metallic Dark Blue, Metallic Brown, Metallic Green, Metallic Orange, Metallic Red, Metallic Sand, Navy, Orange, Pink, Purple, Red, Silver, Teal, White, Yellow",Choose 1 barrel and 1 trim color.  Please note that barrel and trim colors may not be an exact color match.  Flow lines may be visible in metallic barrels.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagram for imprint areas, location and number of colors.",,"SP: 2 1/8""W x 3/4""H (max. 3 colors)","SP: 1 1/8W x 5/32""H (max. 1 color) ",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 7/16""H",,,,500,7 lbs (approx.),24,31
CSCG,BIC? Clic Stic? Grip,,,,Always in stock|Soft dimpled rubber grip|Break-resistant pocket clip,"Trim/Grip Colors, Black, Blue, Burgundy, Forest Green, Navy, Pink, Purple, Red, Yellow, Choose 1 trim/grip color. Please note that trim and grip colors may not be an exact color match. All include white barrel and section.",CSCG Trim/Grip Colors Black Blue Burgundy Forest Green Navy Pink Purple Red Yelllow Choose 1 trim/grip color. Please note that trim and grip colors may not be an exact color match. All include white barrel and section.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 1 3/4""W x1/2""H (max. 3 colors)","SP: 1 1/8""W x 5/32""H (max. 1 color)",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 7/16""H",,,,500,8 lbs (approx.),24,33
CSECO,BIC? Ecolutions? Clic Stic?,,,,Always in stock|Break-resistant pocket clip|Most popular retractable in promotional products!,"Black, Navy, Forest Green, Red",Choose 1 trim color.  All include white barrel.  Flow lines may be visible in metallic barrels.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagram for imprint areas, location and number of colors.",,"SP: 2 1/8""W x 3/4""H (max. 3 colors)","SP: 1 1/8W x 5/32""H (max. 1 color) ",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 7/16""H",,,,500,7 lbs (approx.),24 ^ECO,31
CSI,BIC? Clic Stic? Ice,,,,Always in stock|Popular frosted ice colors|Break-resistant pocket clip,"Black Ice, Blue Ice, Clear Ice, Green Ice, Orange Ice, Pink Ice , Purple Ice, Royal Blue Ice, Red Ice",Choose 1 barrel and 1 trim color.  Please note that barrel and trim colors may not be an exact color match.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, when aligned with clip. 1-color imprint on opposite side of clip. 1 color available on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 1 7/8""W x 3/4""H (max. 3 colors) Multi-color imprint","SP: 1 1/8""W x 5/32""H (max. 1 color)","SP: 2 1/8""W x 3/4""H (max. 1 color)",,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 7/16""H",,,,500,7 lbs (approx.),24,32
CSIG,BIC? Clic Stic? Ice Grip,,,,Always in stock|Popular frosted ice colors|Break-resistant pocket clip|Soft dimpled rubber grip,"Barrel Colors, Black Ice, Blue Ice, Clear Ice, Green Ice, Orange Ice, Pink Ice, Purple Ice, Royal Blue Ice, Red Ice, Choose 1 barrel color. All include frosted clear trim.","Choose 1 barrel and 1 trim color.  Please note that 
barrel and trim colors may not be an exact color match. ",,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 1 3/4""W x1/2""H (max. 3 colors)","SP: 1 1/8""W x 5/32""H (max. 1 color)",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 7/16""H",,,,500,8 lbs (approx.),24,33
CSM,BIC? Mini Clic Stic?,,,,New mini version of our popular BIC? Clic Stic?|Always in stock,"Black Ice, Blue Ice, Clear Ice, Green Ice, Orange Ice, Pink Ice, Purple Ice, Royal Blue Ice, Red Ice","Choose 1 trim color and 1 barrel color.  Barrel colors are limited to:    White, Black, Blue, Red, Forest Green, Yellow. 
Please note that barrel and trim colors may not be an exact color mat",,"Screen Printing (SP): Price includes a 1-color barrel imprint. 4 colors available on barrel opposite clip. 1-color imprint when aligned with clip. 1 color available on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagram for imprint areas, location and number of colors.",,"SP: 3/4""W x 1/2""H (max. 1 color)","SP: 1 1/8""W x 5/32""H (max. 1 color)","SP: 1 3/4""W x 1/2""H (max. 4 colors)",,Medium Point,"Black, Blue, Red",,,BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 4 7/16""H",,,,500,6 lbs (approx.),24,32
CSR,BIC? Clic Stic? Revo,,,,Always in stock|Popular solid colors|Stylish cap action-retractable,"Black, Blue, Burgundy, Clear, Cream, Forest Green, Green, Navy, Orange, Purple, Red, Silver (barrel only), Teal, White, Yellow",Choose 1 barrel and 1 trim color.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel. 1-color clip imprint available. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 1 3/4""W x 5/8""H (max. 3 colors)","SP: 1W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"21/32""W x 5 23/32""H",,,,500,8 lbs (approx.),24,35
CSRI,BIC? Clic Stic? Revo Ice,,,,Always in stock|Popular frosted colors|Stylish cap action-retractable,"Black, Black Ice, Blue Ice, Clear Ice, Green Ice, Orange Ice, Pink Ice, Purple Ice, Royal Blue Ice, Red Ice ","Choose 1 pen color.  Please note that barrel and trim colors may not be an exact color match.
",,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel. 1-color clip imprint available. Add $.12(C) per pen for each additional imprint color or clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 1 3/4""W x 5/8""H (max. 3 colors)","SP: 1W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"21/32""W x 5 23/32""H",,,,500,8 lbs (approx.),24,35
CSWB,BIC? WideBody?,,,,Always in stock|Over 300 possible color combinations|Refillable|Wide-profile design with large imprint area,"Black, Blue, Burgundy, Clear, Cream, Forest Green, Green, Metallic Dark Blue, Metallic Green, Metallic Red, Navy, Orange, Pink, Purple, Red, Silver, Teal, White, Yellow",Choose 1 barrel and 1 trim color.  Please note that barrel and trim colors may not be an exact color match.  Flow lines may be visible in metallic colors.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip. Add $.12(C) per pen for each additional imprint color or clip imprint. Add $.25(C) per pen for puffy printing option. See diagram for imprint areas, location and number of colors.",,"SP: 2 1/8""W x 1""H (max. 3 colors)","SP: 3/4""W x 5/32""H (max 1 color)",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"5/8""W x 5 9/16""H",,,,500,10 lbs (approx.),24,47
CSWBCG,BIC? WideBody? Color Grip,,,,Always in stock |Refillable |Soft contoured rubber grip,"Black, Blue, Burgundy, Forest Green, Navy, Orange, Pink, Purple, Red, Yellow",Choose 1 trim/grip color.  All include a white barrel and section,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip.  Add $.12(C) per pen for each additional imprint color or clip imprint.  Add $.25(C) for puffy printing option. See diagrams for imprint areas, location and number of colors. ",,"SP: 1 1/8""W x 1""H 
(max. 3 colors) Option 2","SP: 3/4""W x 5/32""H 
(max. 1 color)","SP: 2 1/8""W x 5/8""H (max. 3 colors)
Option 1 (Default)",,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"5/8""W x 5 5/8""H",,,,500,12 lbs (approx.),24,49
CSWBCLG,BIC? WideBody? Clear Grip,,,,Always in stock |Soft contoured rubber grip |Refillable,"Black, Blue, Clear, Green, Purple, Red",Choose 1 barrel color.  Trim/grip matches barrel color.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 3 colors available on barrel, 1 color on clip.  Add $.12(C) per pen for each additional imprint color or clip imprint.  Add $.25(C) per pen for puffy printing option.  See diagrams for imprint areas, location and number of colors.",,"SP: 1 1/8""W x 1""H 
(max. 3 colors)
Option 2","SP: 3/4""W x 5/32""H 
(max. 1 color)","SP: 2 1/8""W x 5/8""H (max. 3 colors)
Option 1 (Default)",,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"5/8""W x 5 5/8""H",,,,502,12 lbs (approx.),24,53
